ID,Checker,Type,Impact,File,Line,Function,Classification,Merge key,CID,Disposition Comment,Defect Status
1,ARRAY_VS_SINGLETON,Out-of-bounds access,High,/ats_core_common/DL_ATS_Common_VOB/CommonASN/src/pe_OpenType.c,73,pe_OpenType,Unclassified,7e8878e20be876d5cb7bc9d370fcdc6b,Unavailable,This will not corrupt adjucent memory locations as &ptr AND &ptr[0] both are same,False Positive
2,BUFFER_SIZE,Buffer not null terminated,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ConnectionMngr/src/ADSC_Connection_Mgr.c,2239,"fnADSC_conn_mgr_set_session_table(char *, bool, unsigned int, unsigned int)",Unclassified,f0042e6eccf1218948f22095a0ca33e3,Unavailable,"Exact 8 bytes of Center name is copied  to destination string using strncpy(), which will not cause any problem with NULL termination.",False Positive
3,BUFFER_SIZE,Destination buffer too small,High,/ats_core_common/DL_ATS_Common_VOB/Platform/src/TraceMngr.cpp,257,"TraceMngr::fnTrace(TraceMngr::TraceSource, char const *)",Unclassified,ea866039a5e1abf6ae5cf1ff0373b4e1,Unavailable,"Before copying using strncpy(), there is a condition check for buffer overrun ",False Positive
4,BUFFER_SIZE,Buffer not null terminated,High,/ats_core_common/DL_ATS_Common_VOB/AdscCmnConnManager/ADSC_Cmn_Conn_Mgr.c,2091,adsc_ccm_get_status(ADSC_Status_type *),Unclassified,a82a594de6aa75af5e65fbf48e1c04dc,Unavailable,"Exact 8 bytes of center address is copied  to destination string using strncpy(), which will not cause any problem with NULL termination.",False Positive
5,BUFFER_SIZE,Destination buffer too small,High,/ats_core_common/DL_FANS_App_VOB/ADS/ADS_Management/src/Ads_External_Iface.cpp,771,Ads_external_iface::inhibit_stat_addr(char const *),Unclassified,69b5f01ac8b55211cd1e48af1077a946,Unavailable,"strncpy at line 771 uses strlen(inhib_stat_addr)+1 as count, bounded by actual source length plus null terminator, inhbtd_statn_addr is declared as STATION_ADDR_SIZE+1 bytes so the write stays within buffer bounds.",False Positive
6,BUFFER_SIZE,Buffer not null terminated,High,/ats_core_common/DL_ATS_Common_VOB/AdscCmnConnManager/ADSC_Cmn_Conn_Mgr.c,1166,"adsc_ccm_get_source_center(unsigned char *, unsigned char)",Unclassified,e1c9568b7dac38ea99ed26c5995554b8,Unavailable,"Exact 7 bytes of data is copied  to destination string using strncpy(), which will not cause any problem with NULL termination.",False Positive
7,BUFFER_SIZE,Buffer not null terminated,High,/ats_core_common/DL_ATN_App_VOB/ADSC/ReportMgr/src/ADSC_Generate_fmf_pred_Rpt.c,919,"fnadsc_rptmgr_copy_pxy_PPSeqElem_to_rpt_PPSeqElem(ATS_CORE_IFACE_TYPES::adsc_ProjectedProfile_way_point_sequence_element const *, ProjectedProfile_way_point_sequence_element *)",Unclassified,cc8cdeda41bb3f3d3485ed6d435c81c0,Unavailable,"Waypoint size is 5 characters, so including NULL total 6 bytes size is allocated",False Positive
8,BUFFER_SIZE,Buffer not null terminated,High,/ats_core_common/DL_ATS_Common_VOB/AdscCmnConnManager/ADSC_Cmn_Conn_Mgr.c,1002,"adsc_ccm_set_clear_inhibit_connection(bool, char const *)",Unclassified,84a400d7dba6d737c10151b35237e728,Unavailable,"adsc_inhibited_status_addr is memset(0) in adsc_ccm_init() at line 396, at line 1011 it is compared via strncmp with MAX_CENTER_NAME_SIZE as count, not strlen, so null termination is not required.",False Positive
9,BUFFER_SIZE,Destination buffer too small,High,/ats_core_common/DL_ATS_Common_VOB/Platform/src/TraceMngr.cpp,289,"TraceMngr::fnTraceLine(TraceMngr::TraceSource, char const *, char const *, char const *)",Unclassified,0cde1fc4d29a0c9ddc56ea70c1fd4e0c,Unavailable,Buffer over run condition is checked before copying (i.e. Source string length < Dest string length),False Positive
10,BUFFER_SIZE,Buffer not null terminated,High,/ats_core_common/DL_FANS_App_VOB/FANS_ATC/AFN/src/AFN_C_Downlink.cpp,1289,afn_construct_response_msg(),Unclassified,f4297b1a9033513e083569cb8d124333,Unavailable,Destination buffer(uc_afn_msg) size(121) is > souce string size(3),False Positive
